"Source"	"Target"	"Loss"
"16089"	"10619"	"V1"
"16897"	"10619"	"L1"
"17681"	"10619"	"K1"
"17722"	"10619"	"E1"
"17723"	"10619"	"E1"
"23251"	"10619"	"F1L1"
"17715"	"10664"	"K1"
"10715"	"10711"	""
"16388"	"10711"	"C1"
"10715"	"10713"	""
"17852"	"10715"	"E1"
"18724"	"10715"	"F1"
"17010"	"10736"	"L1"
"18726"	"10736"	"F1"
"17116"	"10811"	"L1"
"11058"	"11052"	""
"11102"	"11101"	""
"11141"	"11134"	""
"11145"	"11141"	""
"16830"	"11141"	"C1"
"11147"	"11145"	""
"11151"	"11147"	""
"14955"	"11151"	"A1"
"14956"	"11151"	"A1"
"16461"	"11151"	"P1"
"16584"	"11151"	"V1"
"17335"	"11151"	"L1"
"20957"	"11151"	"W1"
"11155"	"11154"	""
"17343"	"11154"	"L1"
"16584"	"11155"	"V1"
"18157"	"11227"	"A1G1"
"19041"	"11227"	"G1S1"
"20142"	"11227"	"A1P1"
"21544"	"11227"	"A1K1"
"14250"	"11241"	"G1"
"14253"	"11241"	"G1"
"16505"	"11241"	"P1"
"19172"	"11241"	"F1"
"24854"	"11419"	"C2P1"
"17084"	"11485"	"T1"
"17681"	"11485"	"L1"
"17728"	"11485"	"G2"
"19824"	"11485"	"G1V1"
"11492"	"11488"	""
"11492"	"11489"	""
"11493"	"11492"	""
"16959"	"11492"	"V1"
"17084"	"11493"	"T1"
"17681"	"11493"	"L1"
"17725"	"11493"	"G2"
"19172"	"11493"	"A2"
"19824"	"11493"	"G1V1"
"24077"	"11493"	"F1K1"
"17722"	"11536"	"L1"
"11563"	"11562"	""
"11564"	"11563"	""
"11566"	"11564"	""
"18524"	"11564"	"E1"
"18527"	"11564"	"E1"
"16884"	"11566"	"P1"
"17010"	"11566"	"V1"
"17116"	"11566"	"T1"
"17735"	"11566"	"L1"
"18528"	"11566"	"E1"
"17107"	"11629"	"V1"
"20304"	"11629"	"Y1"
"11787"	"11781"	""
"11792"	"11787"	""
"11793"	"11792"	""
"11794"	"11793"	""
"18744"	"11794"	"K1"
"18745"	"11794"	"K1"
"20084"	"11794"	"R1"
"18057"	"11883"	"L1"
"18823"	"11883"	"A1G1"
"20193"	"11883"	"G1V1"
"21991"	"11883"	"V2"
"24566"	"11883"	"K1R1"
"20309"	"12017"	"R1"
"20193"	"12039"	"G1P1"
"17586"	"12133"	"V1"
"20309"	"12133"	"G1P1"
"12219"	"12217"	""
"19172"	"12219"	"K1"
