"ID"	"MN"	"H"	"C"	"O"	"N"	"S"	"P"	"Na"	"ME"	"Scores"	"NBP"	"Peptide"	"KEGG"
"12702"	"432.128983"	"24"	"20"	"3"	"4"	"2"	"0"	"0"	"433.136055"	"-0.374323542"	"0"	"No Peptide Found"	"Non metabolites found"
"12703"	"432.131487"	"24"	"16"	"8"	"4"	"1"	"0"	"0"	"433.1391467"	"-0.122399428"	"0"	"No Peptide Found"	"Non metabolites found"
"12704"	"432.140216"	"24"	"19"	"2"	"6"	"2"	"0"	"0"	"433.1474287"	"-0.236052292"	"0"	"No Peptide Found"	"Non metabolites found"
"14233"	"432.147434"	"29"	"14"	"8"	"3"	"2"	"0"	"1"	"455.1365839"	"0.129256194"	"0"	"No Peptide Found"	"Non metabolites found"
"12706"	"432.148396"	"29"	"18"	"6"	"2"	"1"	"1"	"0"	"433.1557451"	"-1.235473226"	"0"	"No Peptide Found"	"Non metabolites found"
"12707"	"432.150113"	"28"	"17"	"5"	"4"	"2"	"0"	"0"	"433.1575127"	"0.944036118"	"0"	"No Peptide Found"	"Non metabolites found"
"12708"	"432.155607"	"29"	"12"	"7"	"6"	"1"	"1"	"0"	"433.1630148"	"0.616205458"	"0"	"No Peptide Found"	"Non metabolites found"
"12709"	"432.159629"	"29"	"17"	"5"	"4"	"1"	"1"	"0"	"433.1672498"	"-0.350211322"	"0"	"No Peptide Found"	"Non metabolites found"
"12710"	"432.161346"	"28"	"16"	"4"	"6"	"2"	"0"	"0"	"433.169212"	"0.122718444"	"0"	"No Peptide Found"	"Non metabolites found"
"12711"	"432.167872"	"28"	"17"	"7"	"4"	"1"	"0"	"0"	"433.1751521"	"0.240570131"	"3"	"P1V1C1D1;A1P1D1M1;G1P1E1M1"	"Non metabolites found"
"12712"	"432.176601"	"28"	"20"	"1"	"6"	"2"	"0"	"0"	"433.18392"	"-0.336981273"	"0"	"No Peptide Found"	"Non metabolites found"
"12713"	"432.182658"	"36"	"21"	"3"	"0"	"3"	"0"	"0"	"433.1899731"	"0.349938807"	"0"	"No Peptide Found"	"Non metabolites found"
"12714"	"432.185631"	"28"	"17"	"9"	"4"	"0"	"0"	"0"	"433.193504"	"0.977783822"	"6"	"P1T2D1;A1L1D2;G1L1D1E1;S1P1T1E1;A1V1D1E1;G1V1E2"	"Non metabolites found"
"12715"	"432.191307"	"33"	"20"	"8"	"0"	"0"	"1"	"0"	"433.1991927"	"-0.348373582"	"0"	"No Peptide Found"	"Non metabolites found"
"12716"	"432.195528"	"32"	"15"	"12"	"2"	"0"	"0"	"0"	"433.203167"	"-0.766108605"	"0"	"No Peptide Found"	"Non metabolites found"
"12717"	"432.197731"	"32"	"17"	"3"	"6"	"2"	"0"	"0"	"433.2048218"	"0.637095212"	"0"	"No Peptide Found"	"Non metabolites found"
"12718"	"432.200886"	"28"	"21"	"6"	"4"	"0"	"0"	"0"	"433.2086611"	"1.163116212"	"3"	"L1D1W1;V1E1W1;G1P2Y1"	"Non metabolites found"
"12719"	"432.212986"	"32"	"21"	"0"	"6"	"2"	"0"	"0"	"433.2202433"	"0.200480636"	"0"	"No Peptide Found"	"Non metabolites found"
"12722"	"432.228377"	"37"	"14"	"5"	"6"	"1"	"1"	"0"	"433.2356415"	"-0.702225314"	"0"	"No Peptide Found"	"Non metabolites found"
"12724"	"432.234116"	"36"	"18"	"2"	"6"	"2"	"0"	"0"	"433.241825"	"0.4060816"	"0"	"No Peptide Found"	"Non metabolites found"
"12725"	"432.237271"	"32"	"22"	"5"	"4"	"0"	"0"	"0"	"433.2449064"	"0.807937358"	"2"	"G1P1L1F1;A1P1V1F1"	"Non metabolites found"
"12727"	"432.248504"	"32"	"21"	"4"	"6"	"0"	"0"	"0"	"433.2565147"	"0.220339745"	"0"	"No Peptide Found"	"Non metabolites found"
"12728"	"432.255897"	"36"	"23"	"2"	"4"	"1"	"0"	"0"	"433.2627197"	"-0.130058536"	"0"	"No Peptide Found"	"Non metabolites found"
"12730"	"432.277678"	"36"	"28"	"2"	"2"	"0"	"0"	"0"	"433.2852862"	"0.755258237"	"0"	"No Peptide Found"	"Non metabolites found"
"12738"	"432.989862"	"13"	"13"	"8"	"3"	"1"	"2"	"0"	"433.997219"	"0.896537657"	"0"	"No Peptide Found"	"Non metabolites found"
"12739"	"433.010992"	"17"	"10"	"10"	"3"	"1"	"2"	"0"	"434.0181502"	"0.493231574"	"0"	"No Peptide Found"	"Non metabolites found"
