pon	Pongo abelii (Sumatran orangutan)
pop	Populus trichocarpa (black cottonwood)
ppl	Postia placenta
pfq	Pragia fontium
pmib	Proteus mirabilis BB2000
pmr	Proteus mirabilis HI4320
pvl	Proteus vulgaris
psx	Providencia stuartii ATCC 33672
psi	Providencia stuartii MRSN 2154
pmum	Prunus mume (Japanese apricot)
pper	Prunus persica (peach)
psg	Pseudomonas aeruginosa B136-33
paec	Pseudomonas aeruginosa c7447m
pdk	Pseudomonas aeruginosa DK2
pael	Pseudomonas aeruginosa LES431
pag	Pseudomonas aeruginosa LESB58
paf	Pseudomonas aeruginosa M18
paem	Pseudomonas aeruginosa MTB-1
paeb	Pseudomonas aeruginosa NCGM 1900
pnc	Pseudomonas aeruginosa NCGM2.S1
paep	Pseudomonas aeruginosa PA1
paer	Pseudomonas aeruginosa PA1R
paeu	Pseudomonas aeruginosa PA38182
pap	Pseudomonas aeruginosa PA7
pae	Pseudomonas aeruginosa PAO1
paev	Pseudomonas aeruginosa PAO1-VE13
paei	Pseudomonas aeruginosa PAO1-VE2
paeo	Pseudomonas aeruginosa PAO581
prp	Pseudomonas aeruginosa RP73
paes	Pseudomonas aeruginosa SCV20265
pau	Pseudomonas aeruginosa UCBPP-PA14
paeg	Pseudomonas aeruginosa YL84
palc	Pseudomonas alcaligenes
palk	Pseudomonas alkylphenolia
pbm	Pseudomonas balearica
pbc	Pseudomonas brassicacearum DF41
pba	Pseudomonas brassicacearum subsp. brassicacearum NFM421
pch	Pseudomonas chlororaphis PA23
pcz	Pseudomonas chlororaphis PCL1606
pcp	Pseudomonas chlororaphis subsp. aurantiaca
pci	Pseudomonas cichorii
psw	Pseudomonas cremoricolorata
pdr	Pseudomonas denitrificans
pen	Pseudomonas entomophila
pfc	Pseudomonas fluorescens A506
pfe	Pseudomonas fluorescens F113
pfb	Pseudomonas fluorescens LBUM223
pfw	Pseudomonas fluorescens PCL1751
pfo	Pseudomonas fluorescens Pf0-1
pff	Pseudomonas fluorescens PICF7
pfs	Pseudomonas fluorescens SBW25
pfn	Pseudomonas fluorescens UK4
pfz	Pseudomonas fragi
pfv	Pseudomonas fulva
pkc	Pseudomonas knackmussii
pman	Pseudomonas mandelii
pmk	Pseudomonas mendocina NK-01
pmy	Pseudomonas mendocina ymp
pmon	Pseudomonas monteilii SB3078
pmot	Pseudomonas monteilii SB3101
pmos	Pseudomonas mosselii
por	Pseudomonas oryzihabitans
ppv	Pseudomonas parafulva
ppj	Pseudomonas plecoglossicida
ppz	Pseudomonas poae
ppro	Pseudomonas protegens Cab57
pprc	Pseudomonas protegens CHA0
pfl	Pseudomonas protegens Pf-5
ppse	Pseudomonas pseudoalcaligenes
ppsy	Pseudomonas psychrophila
ppb	Pseudomonas putida BIRD-1
ppud	Pseudomonas putida DLL-E4
ppx	Pseudomonas putida DOT-T1E
ppf	Pseudomonas putida F1
ppg	Pseudomonas putida GB-1
pput	Pseudomonas putida H8234
ppuh	Pseudomonas putida HB3267
ppu	Pseudomonas putida KT2440
ppun	Pseudomonas putida NBRC 14164
ppi	Pseudomonas putida ND6
ppt	Pseudomonas putida S16
ppw	Pseudomonas putida W619
pre	Pseudomonas resinovorans
prh	Pseudomonas rhizosphaerae
psp	Pseudomonas savastanoi pv. phaseolicola 1448A
psec	Pseudomonas sp. CCOS 191
psem	Pseudomonas sp. MRSN12121
psos	Pseudomonas sp. Os17
pses	Pseudomonas sp. StFLB209
psk	Pseudomonas sp. TKP
ppuu	Pseudomonas sp. UW4
psv	Pseudomonas sp. VLB120
pstu	Pseudomonas stutzeri 19SMN4
pstt	Pseudomonas stutzeri 28a24
psa	Pseudomonas stutzeri A1501
psz	Pseudomonas stutzeri ATCC 17588
psc	Pseudomonas stutzeri CCUG 29243
psj	Pseudomonas stutzeri DSM 10701
psr	Pseudomonas stutzeri DSM 4166
psh	Pseudomonas stutzeri RCH2
