"ID"	"Mass"	"Intensity.C1"	"Intensity.C2"	"Intensity.C3"	"Intensity.C4"	"Intensity.C5"	"Intensity.C6"	"Intensity.E15_1"	"Intensity.E15_2"	"Intensity.E15_3"	"Intensity.E15_4"	"Intensity.N1"	"Intensity.N2"	"Intensity.N3"	"Intensity.N4"	"Intensity.pY_C4"	"Intensity.pY_C5"	"Intensity.pY_C6"	"Intensity.pY_E5_1"	"Intensity.pY_E5_2"	"Intensity.pY_E5_3"	"Intensity.pY_E5_4"	"Intensity.pY_N1"	"Intensity.pY_N2"	"Intensity.pY_N3"	"Intensity.pY_N4"	"Intensity.pY_PV1"	"Intensity.pY_PV2"	"Intensity.pY_PV3"	"Intensity.pY_PV4"
17803	870.50355	"2545100000"	"2119200000"	"72300000"	"0"	"1587500000"	"1987200000"	"4191800000"	1.3601e+10	5.769e+09	5580200000	"0"	"0"	"0"	0	"0"	"0"	"1987200000"	4239500000	3706600000	1551500000	"5926300000"	"0"	"0"	"0"	0	"5264400000"	"8972000000"	0	3089400000
117237	856.50182	"22345000"	"60697000"	"20897000"	"39368000"	"16466000"	"51175000"	"13138000"	1644200000	10403000	0	"0"	"0"	"0"	0	"0"	"0"	"5349800"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
125505	966.52468	"2869100000"	"1836200000"	"2258700000"	"2982600000"	"5062300000"	"9004500"	"3045900000"	2639100000	1795300000	3632900000	"3441800000"	"1682700000"	"1914000000"	2264900	"2982600000"	"5062300000"	"9004500"	2999200000	1954900000	2103700000	"2328400000"	"3441800000"	"1682700000"	"1914000000"	2264900	"3314000000"	"3807600000"	4331600	1683500000
146493	808.43307	"1002900000"	"1001500000"	"780170000"	"781120000"	"490850000"	"509370000"	"425180000"	225720000	457580000	522780000	"243070000"	"101970000"	"308720000"	168270000	"1368400000"	"724890000"	"509370000"	202030000	237080000	620610000	"477790000"	"436380000"	"236620000"	"308720000"	141510000	"406770000"	"342680000"	499730000	325590000
24912	966.42292	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	13969000	0	"0"	"56539000"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"56539000"	"0"	0	"0"	"0"	0	0
98665	944.45045	"23130000"	"14073000"	"4346700"	"20215000"	"15313000"	"6194600"	"6828500"	2486700	4027400	4926500	"14180000"	"0"	"14182000"	0	"17858000"	"15313000"	"4655500"	0	0	0	"3023900"	"14180000"	"0"	"13005000"	1951700	"0"	"0"	7222100	0
133301	876.47052	"533920000"	"695590000"	"500470000"	"794440000"	"640210000"	"7349200"	"1237200000"	688280000	511420000	0	"647670000"	"312580000"	"227580000"	0	"794440000"	"640210000"	"13139000"	370800000	441210000	416180000	"1185900000"	"647670000"	"312580000"	"227580000"	0	"743900000"	"0"	430750000	390790000
63440	927.50255	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
74436	952.43242	"0"	"28367000"	"79362000"	"43229000"	"27160000"	"0"	"18456000"	0	0	7128000	"148120000"	"124610000"	"0"	81118000	"639840000"	"271020000"	"0"	7572900	3749500	3692000	"0"	"0"	"124610000"	"204430000"	0	"0"	"0"	0	0
38528	956.43922	"116970000"	"161720000"	"399210000"	"330240000"	"311610000"	"682930000"	"173890000"	86243000	84807000	233860000	"391190000"	"306710000"	"343310000"	181670000	"330240000"	"311610000"	"682930000"	1.82e+08	147650000	2.21e+08	"148810000"	"391190000"	"306710000"	"343310000"	181670000	"204920000"	"275390000"	253410000	260920000
42044	912.45928	"19195000000"	"15807000000"	"17356000000"	"11734000000"	"14495000000"	"7207500000"	"4940700000"	7535700000	5142500000	5410500000	"8099100000"	"6104600000"	"4999500000"	4888400000	"11725000000"	"14516000000"	"7200000000"	3954800000	4937300000	4.621e+09	"5054300000"	"8175600000"	"6113400000"	"4987000000"	4880500000	"7325100000"	"6408800000"	4684200000	3.6e+09
56160	930.57498	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
100273	872.51199	"73775000"	"73000000"	"0"	"0"	"0"	"0"	"93901000"	96950000	85348000	0	"70693000"	"64583000"	"72592000"	46839000	"0"	"0"	"0"	0	0	0	"75701000"	"70693000"	"64583000"	"72592000"	46839000	"120000000"	"0"	49829000	39565000
68919	838.45487	"2503100000"	"3625500000"	"219320000"	"1417700000"	"1232500000"	"1830700000"	"0"	0	10608000	17829000	"1019500000"	"790240000"	"1033300000"	95524000	"1417700000"	"1268000000"	"2023900000"	0	0	0	"0"	"1019500000"	"790240000"	"1033300000"	0	"0"	"0"	514770000	460920000
