ID	Mass	C1_1682_POS.asc	C1_1686_POS.asc	C1_1690_POS.asc	C1_1696_POS.asc	C1_1697_POS.asc	C1_1700_POS.asc	C1_1710_POS.asc	C1_1713_POS.asc	C1_1718_POS.asc	C1_1729_POS.asc	C1_1730_POS.asc	D4_1687_POS.asc	D4_1688_POS.asc	D4_1694_POS.asc	D4_1704_POS.asc	D4_1706_POS.asc	D4_1720_POS.asc	D4_1725_POS.asc	D4_1726_POS.asc	D4_1732_POS.asc	D4_1733_POS.asc	D4_1683_POS.asc	D4_1685_POS.asc	D4_1689_POS.asc	D4_1691_POS.asc	D4_1692_POS.asc	D4_1693_POS.asc	D4_1699_POS.asc	D4_1701_POS.asc	D4_1702_POS.asc	D4_1703_POS.asc	D4_1707_POS.asc	D4_1708_POS.asc	D4_1714_POS.asc	D4_1715_POS.asc	D4_1719_POS.asc	D4_1727_POS.asc	D4_1731_POS.asc	C2_1684_POS.asc	C2_1711_POS.asc	C2_1712_POS.asc	C2_1716_POS.asc	C2_1717_POS.asc	C2_1721_POS.asc	C2_1722_POS.asc	C2_1724_POS.asc	C2_1728_POS.asc	1723_POS_UNKNOWN.asc	D3_1695_POS.asc	D3_1698_POS.asc	D3_1709_POS.asc
4807	314.228600275	207447610	112180690	91988298	134838220	85584947	94140998	60403695	137902030	50773752	94694108	80285267	52667368	55526727	123241810	501648270	74904271	88964940	55080704	77302200	72000917	95344398	39185726	21507934	181548400	53690275	74832041	83790182	119891070	238315210	280178250	311295790	81993549	89653362	261326090	102770530	245656220	38084382	155183510	71069120	28735775	86400065	70772780	51261712	46915342	69753627	39608103	49291371	77701807	32099405	28729335	223852520
4808	314.780286727	1	1	18637187	1	1	6219846.1	1	7031976.6	5663929.2	5904682.9	1	7127719.7	1	1	1	8510934.3	1	1	6251057.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7136191.6	1	1	16515601	11849417	1	1	1	1	1
4809	314.925505633	37214444	60942103	82230188	22302087	33723759	119420000	40206591	44476534	13088639	41896659	11542322	33097461	51495028	83910421	31485113	135531440	27367279	25603010	22532903	19997246	22061785	1	274808210	11088768	53682770	67617502	140444840	13965602	78188888	102266990	40468824	64731365	38318606	30725723	12777517	83911723	1	56038153	81725369	60912741	19872302	34763198	58673506	61010101	30516197	36509899	42942720	19051330	105425490	50300445	35611133
4810	314.927113545	14409970	24497948	38935474	7630220.3	17790324	44700775	16207108	15741052	6035076.7	16607959	1	14011130	17635450	33406746	14246078	48642996	9305971.7	12213191	8950060.5	9038403.4	9569501.7	1	113876380	1	25178712	26501859	54170796	5585703.3	31359326	42027127	16365918	23283947	16803348	12876385	1	32883762	1	20078351	34338751	22447212	11134516	11948484	21866856	22467771	12509162	17355985	1	5929544	42605146	22083107	1
4811	314.932000538	1	1	6881988.2	1	1	33948793	30398741	1	10797205	10826470	8367943	17632016	1	1	1	1	6352001	5863126.4	7643197.3	6930769.5	1	8623274.3	9869225.5	1	12487788	8421109.5	14409919	1	1	1	1	1	1	1	1	1	1	13580576	7167186.7	36011136	16524870	28605909	11221366	17678028	52192250	27580643	10709525	1	1	1	1
4812	314.937565429	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11044798	1	1	6169216.3	1	1	1	1	1	1	1	1	1	1	1	1	5670706.3	1	1	6077785.9	1	1	7474143.9	6025227.7	6414070.6	1	1	1	1	1
4813	314.945640667	1	1	1	1	1	1	6099520.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11082206	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11933518	1	1	1	13296133	1	1	9353254.5	15933715	1	1	1	1	1
4814	314.946696667	1	1	8714237.8	8202706.9	6929079.4	37547183	1	12397754	1	1	6224246.9	1	26575050	1	10720000	7871475.2	6427565.5	1	14672753	15747714	9382677.7	1	1	1	10157221	7623467.9	19881213	1	1	13503680	34204071	1	44472921	1	7846514.2	8128628.8	38149227	1	7416327.9	9480893.5	13582970	1	18515363	9953535.4	1	1	10962754	1	71948962	7107692.1	1
4815	314.950565667	1	1	7593355.8	1	1	1	1	1	6360782	1	1	1	1	1	1	1	1	1	6800509	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7039254	1	9981709.8	1	9624740.6	1	1	1	1	1
4816	314.955348091	14287713	10891644	61445150	32375281	32047572	58324175	33285474	25650389	60256221	18970410	64429971	25268078	10836206	1	12812573	16280592	13337031	23429154	45839246	15901341	1	25888770	14304770	1	25241287	1	25127201	1	11024844	14486241	14572487	5934670	26263160	11654849	19443854	10080916	18632841	42787697	38113318	21274849	125462170	57154087	36872637	55970079	65772613	84857141	36495710	24039327	10509506	1	1
4817	314.963700667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10084152	1	1	1	1	1	9306439.5	10081313	12614689	69662193	1	1	1	1	1	1	1	1	1	8135389.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4818	314.988502462	18612707	5876845.9	1	7400935	5709635.8	1	1	6562878.1	1	1	1	1	15370102	1	1	1	1	1	1	8135942.4	1	1	1	1	1	1	6447017.1	1	9462348.2	1	7924545.4	1	1	1	1	1	1	1	1	1	1	6626716.6	1	1	1	1	1	11504648	13077308	1	1
4819	315.009937953	10231351	7751222.5	12573934	22126261	7487115.3	7953306.1	6248729	5721985.8	6838919.3	8245192.7	8749124.8	6650186	6830542.4	6224706.6	11842004	7249602.1	9507946.2	12543185	6116172.2	15202122	1	1	1	1	7555485	20396058	9939460.4	18456110	9322399.6	8778667.2	1	5878286.8	8500024.1	7348604.4	16654654	6946386.9	1	19190830	6873837.6	9085634.3	6685280.6	10317542	11015781	17129952	11521781	13011446	8439817.6	12138571	9217162.8	1	1
4820	315.017860458	40338006	36368465	27582731	60259024	14212775	20289976	10516530	28781980	11088544	17577952	10078046	17103979	20245999	47564895	54853102	12316379	28714114	8297705.4	11101798	22769507	22004705	17645807	24197868	28668561	32967612	39560247	32349732	16104519	35414718	22580681	67273393	31393322	19747668	20993944	16758103	20521327	1	12341321	16828171	1	1	10659843	9602684.1	10654204	10021647	5756051.1	12456483	12670051	26016679	54404982	62466898
4821	315.022257889	1	1	10756892	1	1	1	1	6933928.6	7573165.4	1	8876651.2	1	1	1	1	1	1	10860282	1	12692337	1	21758208	1	1	1	1	6848052.4	1	7798989.4	1	1	1	1	1	10910052	1	1	14013528	11860764	8242166.5	8409742.5	16004882	1	1	12135710	13455138	1	10539634	1	1	1
4822	315.023419714	1	1	1	1	1	1	1	1	1	1	1	1	19092997	9887858.4	1	6785516.9	1	1	1	11697526	16738290	1	8053312.1	1	7666642.2	1	1	1	7539412.1	1	30137029	1	18055528	1	1	1	14849386	1	1	1	1	1	1	1	1	1	6841652.3	1	44794811	13583242	1
4823	315.024913643	52793970	51228777	15416615	38575850	27966143	11911122	65835593	28880306	10945207	28236789	14392948	88373384	1	1	33439238	1	47349911	11518466	1	1	1	11321097	1	106585770	1	80233554	71999040	59504221	1	98945507	1	40489539	1	1	174285170	20469127	1	1	1	6353665.7	1	1	40088209	13058069	1	1	1	10462073	1	1	1
