ID	Mass	x11_06_2016_QC_GA2_01_484_csv	x11_06_2016_QC_GA2_01_485_csv	x11_06_2016_QC_GA2_01_490_csv	x11_06_2016_QC_GA2_01_491_csv	x11_06_2016_QC_GA2_01_492_csv	x11_06_2016_QC_GA2_01_493_csv	x11_06_2016_QC_GA2_01_494_csv	x11_06_2016_QC_GA2_01_500_csv	x11_06_2016_QC_GA2_01_512_csv	x11_06_2016_QC_GA2_01_518_csv
447	230.007674	0	0	0	0	247907.9	0	0	0	397523.9	0
448	230.076624	0	0	134849.5	0	283514	287439	305540.2	0	287933.6	271996
449	230.076974	0	0	548470.6	760845	821948.8	832466	900595.6	814964	869856.7	784442
450	230.105754	9013803	9785714	9095345	9042740	9155599	9159922	9256989	9246281	9235878	9292350
451	230.105774	2464584	2800186	2638566.5	2680986	2736551.3	2756879	2839920.8	2863427	2882058	2942643
452	230.163344	1588271	1668058	0	1562760	0	0	0	0	1720857.6	1804370
453	230.163234	4567474	4744130	4330972.5	4344943	4454494.5	4464315	4359324.5	4338750	4343846.5	4360445
454	230.163244	6330553	6611598	6106666.5	5947173	6019890.5	6087700	6056616	6244576	6246751.5	6122262
455	230.163334	1697258	1760427	1806088.8	1758484	1768122.3	1797717	1782246.5	1808091	1961037	1849878
456	230.163244	1007374	1018881	1048642.1	1047557	1066357.5	1048927	978931.4	1008171	1091630.1	1008320
457	231.020354	263263	286772	272200.3	270642	271934.5	275900	302034.3	279141	285567.8	281591
458	231.998704	1166625	1157340	818312.4	829785	840495.9	841786	852041	839422	821768.1	782878
459	232.121364	193534	204150	123981.4	121710	0	127397	0	0	0	0
460	232.142644	461143	458976	451402.9	459830	450798.7	463837	472767.3	458337	462442.6	445043
461	232.142604	757054	773374	725737.5	741319	743018.8	742139	742755.9	772270	850023.4	738559
462	232.142524	0	0	407402.9	0	0	0	0	0	0	0
463	233.1992865	0	103495	111641.7	110680	119879.1	114263	0	113821	115852.7	108808
464	234.014266857143	598553	595727	394925.8	396044	0	0	0	403186	388364	388571
465	234.074024	218028	0	204107.6	188128	205068	206028	187482.1	215193	214653.4	0
466	234.100546222222	161770	189959	122285.6	150072	125927.9	129159	161905.4	142740	0	140332
467	236.116394	960413	1037361	988377.8	965710	991918.6	945470	903837.3	965786	957259.4	1028044
468	236.116264	1240617	1394729	1240711.8	1151902	1204521.4	1160413	1181351.8	1178356	1229540.8	1209171
469	237.006274	0	80465	0	0	0	0	111386.5	0	0	0
470	237.006424	0	0	0	0	0	0	0	114091	0	0
471	237.006240666667	431792	0	0	469521	0	637435	560748.4	0	689043.1	284874
472	237.006324	0	0	0	0	106131	0	0	0	0	0
473	237.006264	0	540628	0	609455	670663.5	0	732085.6	0	658980.8	0
474	237.085057333333	828565	889291	0	0	0	0	0	860450	0	0
475	238.120724	0	0	0	0	0	192413	0	0	0	0
476	238.157024	0	0	0	0	0	0	198735.4	0	0	0
