ID	MN	H	C	O	N	S	P	Na	ME	Biomarker
8037	372.137163	29	14	7	0	1	1	0	373.144836	0
8038	372.13888	28	13	6	2	2	0	0	373.1461179	0
8040	372.154922	29	14	9	0	0	1	0	373.1626227	0
8041	372.164501	24	15	7	4	0	0	0	373.1721588	0
9678	372.169215	29	14	8	1	1	0	1	395.158308	0
8042	372.170177	29	18	6	0	0	1	0	373.1779439	0
8043	372.17323	24	18	1	6	1	0	0	373.1803833	0
8044	372.175916	28	22	3	0	1	0	0	373.1836046	0
8045	372.179756	24	19	4	4	0	0	0	373.1873818	1
9681	372.18831	25	15	6	5	0	0	1	395.1777554	0
8046	372.189653	28	17	7	2	0	0	0	373.197425	0
8047	372.200886	28	16	6	4	0	0	0	373.2084507	0
8048	372.206562	33	19	5	0	0	1	0	373.21422	0
8049	372.20893	28	26	2	0	0	0	0	373.2165367	0
8050	372.212119	28	15	5	6	0	0	0	373.2196847	0
8051	372.214805	32	19	7	0	0	0	0	373.2223529	0
8052	372.219512	32	17	3	4	1	0	0	373.2266325	0
8053	372.225006	33	12	5	6	0	1	0	373.2323529	0
8054	372.227374	28	19	2	6	0	0	0	373.2351852	0
8055	372.237271	32	17	5	4	0	0	0	373.2448056	0
8056	372.238607	28	18	1	8	0	0	0	373.2462025	0
8059	372.248504	32	16	4	6	0	0	0	373.2560638	0
8060	372.25119	36	20	6	0	0	0	0	373.2586856	0
8061	372.273656	36	18	4	4	0	0	0	373.2812707	1
8063	372.2817	36	28	0	0	0	0	0	373.2893779	1
8072	372.989862	13	8	8	3	1	2	0	373.996954	0
8074	372.995601	12	12	5	3	2	1	0	374.0028376	0
9710	372.996699	15	5	11	2	0	3	1	395.9862615	1
8075	372.998105	12	8	10	3	1	1	0	374.0053567	0
8077	373.02631	11	10	5	7	2	0	0	374.0333564	0
8078	373.045723	16	8	8	5	1	1	0	374.052695	0
8079	373.046374	12	16	6	3	0	1	0	374.053574	0
8082	373.064349	20	9	5	5	2	1	0	374.0714133	0
8083	373.070875	20	10	8	3	1	1	0	374.078618	0
8084	373.077401	20	11	11	1	0	1	0	374.085086	0
9721	373.085168	20	10	7	4	2	0	1	396.0746129	0
8085	373.08613	20	14	5	3	1	1	0	374.0933964	0
8086	373.088634	20	10	10	3	0	1	0	374.0962945	0
8087	373.10726	24	11	7	3	1	1	0	374.1150156	0
8088	373.113786	24	12	10	1	0	1	0	374.1214792	0
8089	373.122515	24	15	4	3	1	1	0	374.1298353	0
9737	373.128079	24	12	9	2	1	0	1	396.1171622	0
