ID	Mass	R7S1	R7S2	R7S3	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R8S1	R8S2	R8S3	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R9S1	R9S2	R9S3	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15
5440	188.120524	0	0	0	19.85925	0	19.7083	0	0	0	12.6186	17.2598	49.0499	0	0	18.8503	14.68535	21.26625	0	0	13.4359	13.7337	21.0953	34.91785	17.07515	0	15.7868	17.4168	0	11.3287	0	18.94075	21.1949	0	16.49485	21.578	21.21925	0	0	27.154	0	0	16.572	0	17.66495	17.1956
5439	188.120524	0	6.03425	7.27055	41.23595	0	0	21.1827	6.85405	9.33275	13.6233	11.61225	0	26.7932	0	9.9572	0	0	0	17.4454	0	17.2786	0	7.18265	20.0654	7.386	35.6631	28.83645	0	20.75565	18.17355	0	0	10.75945	8.27825	34.33425	19.8184	17.0082	0	31.47835	8.9881	37.88885	17.66045	34.5112	16.0939	7.7786
5441	188.120824	96.26885	47.79795	105.3964	102.3816	99.82375	89.35885	99.77745	91.3929	93.9008	89.4103	92.5784	48.30175	112.59165	51.0996	98.06005	96.6978	102.6887	100.1461	100.2146	91.11	98.4895	97.08975	95.2012	88.86585	101.0654	101.227	96.88225	89.6679	92.9107	97.3534	100.33185	101.88265	90.9859	97.8095	97.6345	88.4888	100.46125	102.2792	99.19395	96.95075	104.7182	99.61825	94.94255	71.91545	94.27885
5444	188.127224	13.11075	22.72575	19.2004	1.7753	1.67425	18.0548	13.6915	17.6288	14.8758	16.09375	1.37185	4.993	13.81015	9.74025	4.385	23.24695	4.33725	17.30685	14.9414	13.73515	24.32545	4.671	19.28915	22.17875	15.99185	8.90855	13.53125	9.61575	22.37455	4.45945	4.0166	2.29	11.9017	8.2009	0	16.9465	9.41395	8.5984	13.7895	8.05345	0	19.0684	6.19755	8.899	14.83165
5461	189.041624	1472.58	708.3932	1274.1445	1740.5471	1185.24265	1487.0942	1046.27195	1625.04105	2133.66395	1337.2177	1340.34635	611.04125	881.2478	428.843	2588.68215	686.9415	1204.04975	1353.78975	1624.70905	975.6288	1047.81825	828.9609	1517.33385	1873.7912	1263.5915	1619.48815	1514.43485	1803.92625	1023.508	2731.89565	1101.58955	1069.06345	1484.4675	1211.5403	1266.6247	1301.8845	783.7381	2721.42775	1899.3634	831.3583	1395.80965	1277.1069	2481.19935	2623.47155	1383.84195
5480	189.100724	12.2291	0	14.715	44.14925	66.5037	6.8631	24.8509	4.73135	13.4336	14.36285	11.07225	26.0536	7.97725	2.741	5.92685	9.34095	7.4885	16.77395	12.37515	47.2292	0	15.267	5.2151	25.37865	23.1667	17.9981	25.33315	4.6427	3.7311	5.7344	11.7994	11.1383	23.43695	11.49075	95.9513	5.21475	14.4105	25.25695	41.78215	13.5401	21.6493	39.334	17.40865	13.01505	7.04165
5481	189.102824	0	0	9.8926	17.27605	4.80555	12.10615	22.41045	6.38875	9.3481	13.1865	11.0858	0	19.80765	7.89115	13.36395	11.57225	8.5243	20.13785	15.87395	7.2569	11.41515	7.59	8.7831	17.9819	16.0901	10.1869	6.4299	14.7562	8.8301	12.68135	6.92055	10.8723	16.15385	15.6328	12.4686	15.79555	8.6214	13.4792	16.3862	9.9661	0	13.7605	15.796	15.5048	14.9939
5483	189.111224	13.50525	2.99485	5.52685	6.7752	41.2565	6.12495	8.37615	16.1504	16.7307	16.8036	2.36705	0	3.82715	2.14605	9.6124	0	1.6636	11.65705	2.8178	68.4335	5.8914	4.94425	8.26445	22.47435	16.987	1.35425	7.00845	6.1656	3.76595	8.62545	4.10505	0	10.70025	1.30065	41.0283	3.73085	7.0095	6.008	25.36015	9.41295	1.61095	0	15.7066	5.6485	1.79535
5485	189.124324	11.80675	6.62485	14.30085	5.43345	12.8286	8.207	14.33145	5.06495	10.0472	16.01835	10.9445	0	16.83305	8.03995	16.12385	10.3394	11.8357	12.95675	14.3669	12.18285	15.01685	15.26755	15.81925	10.04095	15.69585	13.95585	6.5936	12.94325	12.8597	15.0071	12.8097	6.65235	12.948	13.4349	12.60185	12.5959	14.9929	12.81325	14.5125	12.0926	13.4159	14.62025	11.97225	13.2315	13.4015
5489	189.136724	4.7942	3.52275	0	5.38165	9.5471	0	6.05885	10.43945	11.2178	0	11.35895	0	6.4023	5.19265	12.21815	0	6.5933	6.38785	7.742	11.5572	5.3799	8.5438	13.35005	1.99365	0	0	5.7533	0	8.37725	5.2023	0	14.1351	0	0	10.02475	4.26245	6.0692	4.1703	12.5567	13.85235	0	5.3424	10.58	7.26075	10.9251
