ID	RT
505	3.5
506	1.275
507	2.2
508	3.1
509	2.74285714285714
510	5.62
511	7.3
512	1.1
513	7.8
514	4.1
515	13.25
516	2.3
517	4.5
518	0.9
519	0.9
520	1.1
521	13.3
522	13.3
523	6.58
524	6.88
525	1.09
526	2.4
527	4.01
528	1.2
529	3.5
530	1.4
531	1.3
532	7.88571428571429
533	7.6
534	7.89
535	2.3
536	1.275
537	1.8
538	1
539	1.24444444444444
540	1.2
541	1.3
542	1.9
543	2.725
544	4.5
545	6.44
546	2.9
547	2.73333333333333
548	3.18
549	3.8
550	2.7
551	3.8
552	3.9
553	3.8
554	1.14
555	5.88
556	3.62
557	4.2
558	6.425
559	6.9
560	0.9
561	1.6
562	2.625
563	3.4
564	0.9
565	10.3
566	12.6
567	13.1
568	13.3
569	2.54444444444444
570	0.9125
571	7.8
572	1.77
573	2.13
574	9.19
575	9.4
576	1.3
577	8.08
578	1.1
579	2.3
580	2.325
581	3.62222222222222
582	4.4
583	2.04
584	1.1
585	4.91111111111111
586	6.9
587	6.125
588	1.04545454545455
589	1.2
590	3
591	1.7
592	5.44
593	5.88
594	6.3
595	0.9
596	1.7
597	3.3
598	4.2
599	2
600	2.4
601	8.78333333333333
602	0.9
603	4
604	1.2
605	2.72
606	1.3
607	1.7
608	2.15
609	2.7
610	4.2
611	1.7
612	2.52
613	4.41
614	1.01666666666667
615	1.8
616	3.2
617	1.1
618	2.5125
619	3.9
620	4.2
621	7.3
622	2.1
623	5.3
624	1.2
625	3.825
626	3.83333333333333
627	5.61
628	7
629	4.45
630	4.52222222222222
631	7.6875
632	1.6
633	4.92
634	3.8
635	1.1
636	0.9
637	3.3
638	5
639	8.61
640	4.92857142857143
641	1.2
642	1.225
643	2.6
644	1.9
645	3.12
646	3.6
647	4.25
648	1
649	4.7
650	5.3
651	1
652	3.075
653	2.44444444444444
654	2.9
655	1.1
656	2.175
657	2.54
658	3.22
659	3.9
660	1.6
661	1.3
662	4.48
663	2.47
664	3.92
665	4.4
666	6.67142857142857
667	7
668	4.84
669	2.78
670	1.8
671	3.2
672	10.32
673	2.5
674	1.1
675	0.9
676	6.5
677	2.4
678	3.2
679	4.4
680	4.81
