ID	Mass	R7S1	R7S2	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R7S16	R8S1	R8S2	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R8S16	R9S1	R9S2	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15	R9S16
3069	317,056925	0	3732997	0	0	2762401	3735057	3094152	0	4164224	3036643	0	0	0	3715067	2960674	3156195	3285483	0	0	2792151	0	0	3896625	3485209	0	3666099	0	0	0	3096640	3025822	0	0	0	0	4803779	0	3290147	0	0	0	0	0	3079644	3715945
3070	317,079391	22645188	26560016	21174930	23326864	11362478	19245598	26616982	24497660	26928780	29230572	7637874	4276731	16773600	23897606	25713966	42385648	19281398	18212232	25718710	9860321	5054255	27378370	37120316	20472356	35042652	14469310	44519716	23319446	24741274	24962124	32514986	30150156	17184154	25020066	16435029	17182928	21860182	18469422	16334904	25175396	18002650	17220730	24925096	38295532	16104310
3074	317,085917	4488647	5607955	6399637	5591187	5787826	6721057	5961881	3796991	5972624	5498352	0	0	4901347	5026314	5655857	5756147	6973946	5590410	0	4134116	3252529	6511302	5777729	5434920	4500831	4970689	5045545	3449752	3772829	6990927	6004653	6526480	5815710	5123750	4648280	7279827	4571994	5937714	5282876	4431720	5545693	0	5063595	3625966	3190649
3078	317,115776	70511056	112051744	100354728	105361568	97009856	79624752	106677416	89239056	98420384	104121856	17738626	33805832	90018288	114443800	76676416	149700864	139773456	80889240	69955528	75744496	38121280	152945360	89639248	104546872	98743656	75184336	189452608	66761636	51045804	74564704	118145976	143085088	86853032	132925112	77428584	110219488	91500392	80183872	84623432	100615544	90194664	70915208	86160312	59668480	69806984
3080	317,122302	8395222	13178404	13372072	9937059	11411654	14350900	11590830	10710545	12121763	12854785	7496580	6665741	8880627	12457501	12651843	13553927	15287821	13039002	10385354	12612853	6414145	11956951	12147030	11563579	10849645	10492115	12882235	9110440	9754032	14619746	13063103	15318560	14824879	13178553	10123114	14422247	10463081	11850309	11751503	11179386	11875055	8875150	11850685	11057156	13515661
3081	317,123956	0	0	6362793	0	0	0	0	0	0	0	0	0	0	3310622	0	5966088	0	4736411	0	3770357	0	3110104	0	0	0	0	0	0	4250034	0	0	0	5629360	0	0	0	0	0	0	0	0	0	0	0	3127694
3082	317,158687	19233254	42976820	39357116	8329395	17875162	39057992	24519874	23973412	33908408	35112464	7144340	4964892	10252804	24438320	14290262	47956252	14943776	37135788	29315034	48678148	21024594	24314600	29288810	53822028	22701436	17410278	19628366	19542968	33121732	13190262	14488529	12918321	33277376	17909452	4898684	41267452	17395578	18158168	32899170	25544076	13034242	14857374	9837519	13449242	27036578
3083	317,195072	3057141	2824775	3241679	0	0	3164251	0	0	3740875	2757155	0	0	0	0	0	3431727	0	0	0	4269334	0	0	0	4638305	0	2782967	0	0	0	0	0	0	3282386	0	0	3858702	0	0	0	0	0	0	0	0	0
3090	317,982394	3228479	4737976	4787310	2740256	0	3045376	4273821	2891731	3716215	3934606	4837625	4420460	3929982	5256164	3151608	3786461	5150673	3843866	2914128	3517048	3693751	3987572	4628278	4752374	3167932	3351163	0	3133723	3274111	3342893	4916591	5724072	4229959	5109869	0	5320375	3366114	0	3718670	4642593	4478115	0	3253613	0	4566374
3092	317,990168	7162690	9007036	6724722	10002979	5655218	11572228	8883873	4776919	12175482	8757137	0	3211118	6790017	8495080	12234492	6988513	10426325	6924061	8720723	6002300	4785339	8563832	6271802	9401338	9619135	8850046	15729406	9215262	5988227	11769393	12195186	8976299	6887242	8945777	5746967	10449595	5629157	11932690	8698386	5267237	6687911	5774863	13825393	10613264	8215914
3093	317,991035	0	0	0	0	0	0	0	0	0	0	3397372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3094	317,992291	3930947	6956989	4756596	4878884	4316852	6243334	4295331	3323352	5576828	0	0	0	0	3959786	5091069	5634786	5943255	3656478	4396373	0	3191996	4804729	5263163	4878331	3052224	3354752	6931200	3462431	0	3740210	5074292	9097132	4992844	6635634	5323032	5857981	4478182	6464532	4050451	4052774	5295272	5046800	0	4276753	4243819
3095	317,998817	22158150	28977088	23456886	30626342	22586040	38099976	27862694	12349403	26241152	37570452	8713472	11859826	13357957	24446956	29146880	16044774	22652890	21948192	16724311	23946880	11653311	20931708	16497471	25273342	35854020	18246274	32633602	38163744	11749256	29148726	23799158	23465902	27748174	29476982	21018908	31756992	14291177	27804694	38863384	25896744	14599339	16029203	52295028	30341654	15486319
3096	318,002052	11703111	19142594	19586168	8546856	13480633	15899658	17049256	7311325	11499649	16222103	4598017	3513203	3842439	8906735	8292098	14217959	14055387	18933538	8266073	13276801	6187200	12608638	10011456	12674048	10665668	12380804	15454980	9397539	5400458	7648824	13821305	15589296	24078160	13228151	12106013	14734018	8337642	11199513	11215384	15247147	10718381	6318612	10098039	7244311	5595505
3097	318,004556	0	0	0	0	0	3531788	0	0	4483203	0	0	0	0	0	0	0	0	3625764	0	0	0	0	0	0	0	0	0	0	0	0	0	4298674	3698513	0	0	0	0	0	0	0	0	0	3599737	0	0
3098	318,007546	24628042	30836676	24284284	38474284	26469052	47594508	31778476	15056864	31058052	40716184	9428227	15165301	13673353	26421234	35004164	20013802	26060766	22955812	23859546	25470596	12624066	22774912	18664260	28009474	36722372	21674630	40694536	42374436	17741708	35743288	25568636	29577138	28182354	34785400	25729312	39252676	16929004	29631516	40690204	25478956	17294512	22312470	61060472	42285596	17173876
3099	318,011568	3039051	3294150	2829438	0	2763454	0	0	0	0	0	0	0	0	0	2854663	0	3179488	2752807	0	2830982	0	2909314	0	0	0	0	3034889	0	0	0	0	2813877	2921813	0	0	3394247	0	3417118	0	0	0	0	0	0	0
3100	318,019811	8801102	9258953	7443586	12558896	10203843	16862228	11450034	4273126	10342539	13260703	0	4130683	5010319	10059768	12996363	5260017	9232357	7694122	7194977	8363657	4579528	7574662	7162698	10849289	13350602	8780429	12116749	13239595	5130131	12338753	10311041	8499128	11171672	13383808	9668901	13263563	5730546	10060834	14004769	9090867	6395062	5682716	20739456	12122658	6300026
3101	318,025686	3705681	3088332	5598341	3065906	4087494	0	4295350	0	3477646	4068257	0	0	7252882	8302587	8662798	5829364	5554152	5543725	0	3018380	0	6886537	5186382	3774476	3733197	3452560	4008720	2985261	6135702	9094724	5307780	4959163	4772699	2920579	4276520	0	3456244	3276837	0	4041526	4974777	0	5641603	5055013	7390589
3102	318,035202	5294933	8515537	7908490	5745207	7766732	8784924	7200443	5324782	6623379	8386470	0	0	5391254	6531072	8224531	7494394	9138157	6143793	5402984	8068752	4692174	8215694	5422931	9081873	7374545	6165141	9310997	6180146	4238235	6385225	7343497	8128447	7585632	7264392	6801709	8788691	4833529	7105578	7991850	6082363	4973758	3217955	5948808	5704235	5894531
3103	318,03757	3945302	5176274	3915915	5153336	4454093	5032990	5557949	3044847	4812948	5873575	0	0	3214231	5511169	5416724	4945659	6295534	2785074	3432809	5158545	0	5215375	3445588	3272210	4573906	4388502	4069143	3209523	3622812	5588554	4845962	5573568	2963297	5765257	3865902	5161685	3494138	5600300	4925995	4376380	4931775	0	4850057	4428333	3952004
3104	318,040941	0	3322835	0	0	4114127	3582495	2751167	0	3150486	3031976	0	0	0	0	3742486	0	0	0	0	0	0	0	3385174	2998292	3604179	0	3708696	3767604	0	4557388	0	0	3022690	3529867	2765104	0	0	2980909	3572268	0	0	0	3306891	3389998	0
3105	318,043931	2827096	6557653	3576974	3510842	6109905	4697121	4152000	3735539	5808280	4390826	0	0	2959258	3847173	4324119	5704446	5154801	4575029	3228779	8136340	0	4019345	5505880	5683221	4751060	2911897	5739290	4302133	4467616	4510286	3980685	6043587	5176164	4933772	4989233	4658904	2912508	4206639	5376558	4333375	4062402	4180519	3522956	4719152	4038023
3106	318,052174	0	2949593	0	0	0	0	0	0	3842204	3752878	0	0	0	0	2894619	3503875	3401718	0	0	0	0	2819222	3032924	0	0	0	0	2918713	0	2775634	0	2814919	0	0	0	3616477	0	3291187	0	0	3170502	0	3218832	0	0
3107	318,056196	0	4392923	3729557	3439168	4447960	6302759	3940040	0	5079199	5147568	0	0	0	4211723	4173597	4434693	4292600	3526458	3503473	3852953	0	3933336	4940639	5131292	3989209	3351199	4857632	3491131	2777511	4906580	3827092	4758473	3887978	4696211	4188471	5227231	0	5309494	4748853	3828549	3929289	0	0	4629048	3250574
3109	318,062071	757246784	965396416	917687424	883339840	978502336	980073536	879150784	615165952	992397504	926599104	289115424	257128336	522490784	931842048	1078378240	881771264	1097254912	832751424	521056640	830654080	356290784	980599936	874695552	953598976	889894592	873904832	935777088	646100288	533899168	1084147328	1019921792	1057673152	963037056	1002358912	878885184	1005245184	721072384	1065534528	853983808	808634176	915850432	391157280	841135488	809417280	672574848
3111	318,066778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2858303	0	0	0	0	0	0	0	0	3102982	0	0	0	0	0	0	0	0
3112	318,067429	3283810	3215328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3741274	3556761	0	0	0	0	3674853	0	0	0	0	0	0	0	0	0
3114	318,071269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3383357	2960956	0	0	0	0	0	0
3115	318,072454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2935566	0	0	0	0	0	0	0	0	0	0	2919208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3116	318,073304	0	0	0	2786887	0	0	0	0	0	0	0	0	0	0	2865958	0	0	0	0	0	0	0	0	0	0	0	0	2753858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4039234	0
3117	318,075507	91630440	117360608	88624288	94515784	45761252	74398768	113002192	96382976	108841128	120309688	29551904	19724178	70046632	98650136	110051112	180405008	83462144	76089152	99496312	41076388	22335712	114017440	150981488	80086056	136918752	65993384	189190960	100709696	100181936	110642784	133645728	133025744	67602288	101140632	72104256	69128936	88224008	83199040	69190208	107267920	70681808	67278392	106247584	154712640	65908120
3118	318,077326	0	0	0	0	8365795	0	0	0	0	0	0	3712402	0	0	0	6173457	10696706	0	3723643	7472803	4516065	0	12651370	0	0	0	6062891	0	0	11085407	0	11947986	7958387	0	8988993	9143018	0	0	0	0	8557779	0	0	0	0
3119	318,078193	3015527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2900549	0
3120	318,08282	0	3806183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2879869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
