ID	Mass	RT
1661	123,041324	4,5375
1670	123,105424	4,2114
1671	123,994224	1,0566
1677	124,016224	1,4756
1679	124,016524	4,2556
1681	124,016624	4,6776
1680	124,016624	5,2059
1684	124,017624	1,2026
1688	124,052524	6,3605
1696	124,089024	7,2241
1699	124,095524	5,3516
1702	125,048124	1,1729
1703	125,048224	3,8884
1709	125,084324	1,1606
1710	125,084324	4,5721
1711	125,084424	3,9765
1713	125,084624	5,6436
1720	125,942624	3,1656
1722	125,977924	1,688
1732	126,032124	1,1239
1734	126,032224	3,1684
1739	126,032824	1,9724
1740	126,033224	1,6757
1742	126,034224	1,2433
1743	126,035924	2,3919
1745	126,047124	7,4647
1750	126,069324	5,7693
1754	126,080024	4,9887
1756	126,080724	1,1345
1762	126,103724	8,3485
1763	127,028324	1,1692
1766	127,042024	1,6498
1769	127,042724	3,5739
1770	127,042824	2,8324
1780	127,063824	1,1226
1781	127,064124	1,2607
1786	127,099524	3,6497
1789	127,099724	2,9093
1793	127,100124	1,1754
1794	127,100324	1,2652
1802	127,997224	1,69
1803	128,010824	1,3564
1804	128,010924	1,1739
1805	128,011024	1,2555
1806	128,011224	3,6848
1808	128,011624	3,7566
1814	128,047724	1,8936
1815	128,047724	6,4996
1817	128,047824	4,8077
1819	128,048124	1,2005
1828	128,052724	1,0763
1833	128,058724	8,476
1841	128,063424	6,3599
1849	128,095024	4,2776
1852	128,095124	3,5666
1850	128,095124	4,3971
1851	128,095124	5,0942
1854	128,095224	2,0905
1855	128,095224	3,6618
1853	128,095224	4,6853
1861	128,095424	1,259
1863	128,095524	1,1768
1864	128,095524	4,977
1866	128,095624	1,5426
1867	128,095624	2,821
1877	128,131624	5,0611
1881	129,042224	1,2673
1882	129,042724	1,415
1883	129,042724	9,2862
1885	129,042824	8,4756
1886	129,042824	11,0488
1887	129,042924	1,087
1889	129,043124	4,2479
1892	129,043324	2,0932
1891	129,043324	9,8088
1893	129,044224	3,6139
1895	129,044524	1,6016
1906	129,056724	1,549
1907	129,056824	4,4036
1908	129,057324	4,7783
1909	129,057424	5,6256
1912	129,057924	5,7743
1913	129,058024	1,8743
1914	129,058224	5,3428
1915	129,058324	7,4522
1917	129,058424	5,0673
